"id","stargazers_count","forks_count","watchers_count","open_issues_count","size","language","has_wiki","popular"
5405654,33326,5974,33326,57,62990,"JavaScript",1,1
2935735,33080,7507,33080,2778,92974,"JavaScript",1,1
11167738,32987,4172,32987,34,1117,"JavaScript",0,1
1198539,32736,3101,32736,18,91503,"JavaScript",0,1
12226786,32128,1397,32128,122,59935,"JavaScript",0,0
1201476594,31944,6259,31944,63,28732,"JavaScript",1,0
631254164,31865,6066,31865,987,15963,"JavaScript",1,0
31085130,31797,2928,31797,849,358131,"JavaScript",1,0
402046,31211,4806,31211,113,141539,"JavaScript",0,0
74260508,31127,5830,31127,109,31372,"JavaScript",1,0
15308499,31063,3740,31063,517,2775,"JavaScript",1,0
85541218,30942,3271,30942,8,8812,"JavaScript",1,0
306977633,30904,2579,30904,18,414,"JavaScript",0,0
13584262,30870,2784,30870,85,48045,"JavaScript",0,0
42920477,30538,7398,30538,64,30785,"JavaScript",0,0
23736449,30260,4835,30260,366,158,"JavaScript",1,0
53370988,30034,9706,30034,515,357502,"JavaScript",0,0
30794868,29724,3124,29724,927,66324,"JavaScript",0,0
48626335,29606,6280,29606,1074,31134,"JavaScript",1,0
14098121,29580,5850,29580,58,60251,"JavaScript",1,0
30969188,29517,6049,29517,130,8943,"JavaScript",0,0
528313152,29500,1871,29500,1,53093,"JavaScript",0,0
95876775,29496,3170,29496,16,507,"JavaScript",1,0
29891188,29435,2315,29435,129,3752,"JavaScript",0,0
115720575,28911,866,28911,60,7800,"JavaScript",1,0
1844251,28897,13747,28897,180,76582,"JavaScript",1,0
2055965,28747,9268,28747,1407,642332,"JavaScript",1,0
51270739,28597,1376,28597,97,10521,"JavaScript",1,0
18049133,28587,5790,28587,1337,3767,"JavaScript",0,0
53639099,28487,2872,28487,17,41,"JavaScript",1,0
39176269,28387,9502,28387,141,16581,"JavaScript",0,0
116392709,28326,2065,28326,71,9520,"JavaScript",0,0
698041,28180,2384,28180,24,8235,"JavaScript",1,0
2206953,28116,1743,28116,16,4238,"JavaScript",1,0
952189,28087,5324,28087,67,27619,"JavaScript",1,0
38836015,28065,2639,28065,371,1465,"JavaScript",1,0
359379971,28058,3218,28058,4,86688,"JavaScript",1,0
566931318,27873,4167,27873,33,1621065,"JavaScript",0,0
59996401,27736,4838,27736,1620,232820,"JavaScript",0,0
597879,27470,3981,27470,183,152250,"JavaScript",1,0
166535974,27464,3256,27464,266,199,"JavaScript",1,0
299628763,27364,7702,27364,213,18762,"JavaScript",1,0
349241,27349,5452,27349,54,7278,"JavaScript",1,0
108708339,27297,7632,27297,19,6085,"JavaScript",1,0
1254497,27246,4958,27246,439,19358,"JavaScript",0,0
11061773,27188,4971,27188,103,52415,"JavaScript",0,0
1028340,27124,5276,27124,138,44617,"JavaScript",1,0
43695474,27113,3682,27113,682,493949,"JavaScript",0,0
45431898,27068,3037,27068,0,48767,"JavaScript",1,0
99401299,26729,844,26729,6,5290,"JavaScript",0,0
958314,26695,1749,26695,12,3016,"JavaScript",1,0
942837343,26514,2478,26514,177,28968,"JavaScript",1,0
245049028,26512,1963,26512,604,84394,"JavaScript",0,0
7910045,26437,5592,26437,316,500084,"JavaScript",0,0
12244426,26416,1785,26416,134,722,"JavaScript",1,0
312262,26383,2572,26383,870,6785,"JavaScript",1,0
181807583,26275,3258,26275,6259,8068,"JavaScript",1,0
35640229,26264,1701,26264,601,34626,"JavaScript",1,0
3620194,25954,6177,25954,175,14127,"JavaScript",0,0
25136308,25928,2830,25928,21,581,"JavaScript",0,0
20270252,25880,1284,25880,508,16149,"JavaScript",1,0
14003349,25767,1298,25767,249,4858,"JavaScript",1,0
317757,25662,2947,25662,192,20298,"JavaScript",1,0
599524116,25589,5078,25589,405,213705,"JavaScript",0,0
276008164,25576,3911,25576,342,2015008,"JavaScript",1,0
1283503,25573,3161,25573,142,2290,"JavaScript",0,0
11481338,25478,1697,25478,43,88519,"JavaScript",0,0
